title,url,stage,day,time,description
,,THEATRE AND CIRCUS,SATURDAY,13:15 - 13:45,
1623 THEATRE COMPANY,http://www.1623theatre.co.uk/,THEATRE AND CIRCUS,FRIDAY,15:00 - 15:50,Non traditional Shakespeare
1623 THEATRE COMPANY,http://www.1623theatre.co.uk/,THEATRE AND CIRCUS,SATURDAY,15:10 - 16:00,Non traditional Shakespeare
1623 THEATRE COMPANY,http://www.1623theatre.co.uk/,THEATRE AND CIRCUS,SUNDAY,14:25 - 15:15,Non traditional Shakespeare
1XTRA,,SILVER HAYES,SATURDAY,21:00 - 00:00,
2 BEARS (DJ SET),http://www.the2bears.co.uk/,THE PARK,FRIDAY,21:00 - 21:30,"A brief smattering of two-step, house and soul to prime the arena for Four Tet."
2 KINGS,https://www.facebook.com/2kingsrecords,SILVER HAYES,SATURDAY,18:00 - 20:00,"With 25 years in the business, 2 Kings’ Henry and Louis continue to mix new dub and roots revival sounds to maximum effect."
2MANYDJS & JAMES MURPHY,https://www.facebook.com/despaciosoundsystem,SILVER HAYES,FRIDAY,19:00 - 02:00,
2MANYDJS & JAMES MURPHY,https://www.facebook.com/despaciosoundsystem,SILVER HAYES,SATURDAY,19:00 - 02:00,
2MANYDJS & JAMES MURPHY,https://www.facebook.com/despaciosoundsystem,SILVER HAYES,THURSDAY,20:00 - 02:00,
3 DAFT MONKEYS,http://www.3daftmonkeys.co.uk/,AVALON,SUNDAY,13:50 - 14:45,"Rousing, Cornish alt-folk band, weaving world music influences around ancient and modern melodies."
4PLAY,,OTHER,FRIDAY,16:00 - 17:00,
4PLAY,,OTHER,SATURDAY,17:30 - 18:30,
4TUNECOOKIE,,THE COMMON,SATURDAY,22:00 - 23:00,
4TUNECOOKIE,,THE COMMON,THURSDAY,20:00 - 21:00,
5000AD,,THE BANDSTAND,FRIDAY,23:00 - 00:00,
6MUSIC,,SILVER HAYES,SATURDAY,12:45 - 13:10,
6MUSIC LAUREN LAVERNE,,SILVER HAYES,FRIDAY,15:15 - 15:40,
808 STATE,http://www.808state.com/,THE UNFAIRGROUND,SATURDAY,00:00 - 02:00,
A GUY CALLED GERALD,http://www.guycalledgerald.com/,SHANGRI-LA,SATURDAY,03:00 - 04:00,
A SAGITARRIUN,http://www.a-sagittariun.com/,SILVER HAYES,FRIDAY,17:00 - 18:00,"Live set from the Elastic Dreams label head honcho, renowned as techno’s masked dreamweaver, no less."
A-SWARF,,BLOCK9,SATURDAY,22:00 - 00:00,
AARON DOUGLAS,,GREEN FIELDS,SUNDAY,20:15 - 21:15,
