title,url,stage,day,time
A CRUSHING GLOW DJS,https://www.facebook.com/events/701598736635253/,STONEBRIDGE,SATURDAY,13:00 - 14:00
A MAN TO PET,,NYC DOWNLOW,SUNDAY,01:25 - 01:30
"A RADICAL ROUND-UP SPECIAL : FRANK TURNER WITH BILLY BRAGG: ""THE ROAD BENEATH MY FEET"" -",http://frank-turner.com/,LEFT FIELD,SATURDAY,15:00 - 16:30
A VOYAGE AROUND MY BEDROOM,http://www.ericmaclennan.com,BELLA'S FIELD,THURSDAY,17:00 - 18:30
A VOYAGE AROUND MY BEDROOM,http://www.ericmaclennan.com,BELLA'S FIELD,THURSDAY,15:00 - 16:30
A VOYAGE AROUND MY BEDROOM,http://www.ericmaclennan.com,BELLA'S FIELD,FRIDAY,17:00 - 18:30
A VOYAGE AROUND MY BEDROOM,http://www.ericmaclennan.com,BELLA'S FIELD,FRIDAY,15:00 - 16:30
A VOYAGE AROUND MY BEDROOM,http://www.ericmaclennan.com,BELLA'S FIELD,FRIDAY,13:00 - 14:30
A VOYAGE AROUND MY BEDROOM,http://www.ericmaclennan.com,BELLA'S FIELD,SATURDAY,17:00 - 18:30
A VOYAGE AROUND MY BEDROOM,http://www.ericmaclennan.com,BELLA'S FIELD,SATURDAY,15:00 - 16:30
A VOYAGE AROUND MY BEDROOM,http://www.ericmaclennan.com,BELLA'S FIELD,SATURDAY,13:00 - 14:30
A VOYAGE AROUND MY BEDROOM,http://www.ericmaclennan.com,BELLA'S FIELD,SUNDAY,17:00 - 18:30
A VOYAGE AROUND MY BEDROOM,http://www.ericmaclennan.com,BELLA'S FIELD,SUNDAY,15:00 - 16:30
A VOYAGE AROUND MY BEDROOM,http://www.ericmaclennan.com,BELLA'S FIELD,SUNDAY,13:00 - 14:30
AARON DOUGLAS,http://www.aarondouglasmusic.co.uk,SMALL WORLD STAGE,SUNDAY,18:45 - 19:45
ABANDOMAN,http://robbroderick.com,THE BREAD AND ROSES,FRIDAY,18:00 - 19:00
ABANDOMAN,http://robbroderick.com,THE BREAD AND ROSES,SATURDAY,18:00 - 19:00
ABI BAKER (ACOUSTIC SET),http://www.abibakermusic.co.uk,AVALON CAFÉ STAGE,WEDNESDAY,20:00 - 21:00
ABLE MABLE,http://www.ablemable.org.uk,A LITTLE MORE SENSATION,FRIDAY,12:35 - 13:05
ABLE MABLE,http://www.ablemable.org.uk,A LITTLE MORE SENSATION,SATURDAY,12:35 - 13:05
ABLE MABLE,http://www.ablemable.org.uk,A LITTLE MORE SENSATION,SUNDAY,12:35 - 13:05
ABOVE AND BEYOND,http://www.aboveandbeyondaerial.co.uk,CIRCUS FIELD,FRIDAY,23:30 - 00:15
ABOVE AND BEYOND,http://www.aboveandbeyondaerial.co.uk,CIRCUS FIELD,FRIDAY,13:00 - 16:00
ABOVE AND BEYOND,http://www.aboveandbeyondaerial.co.uk,CIRCUS FIELD,SATURDAY,23:30 - 00:15
ABOVE AND BEYOND,http://www.aboveandbeyondaerial.co.uk,CIRCUS FIELD,SATURDAY,13:00 - 16:00
ABOVE AND BEYOND,http://www.aboveandbeyondaerial.co.uk,CIRCUS FIELD,SUNDAY,23:30 - 00:15
ABOVE AND BEYOND,http://www.aboveandbeyondaerial.co.uk,CIRCUS FIELD,SUNDAY,13:00 - 16:00
ACID LOUNGE DJ'S,http://HTTP://THEIRWEBSITE.COM,JAG'Z ACID LOUNGE,THURSDAY,18:00 - 23:00
ACID LOUNGE DJ'S,,JAG'Z ACID LOUNGE,FRIDAY,18:00 - 23:00
ACID LOUNGE DJ'S,,JAG'Z ACID LOUNGE,SATURDAY,18:00 - 23:00
ACID LOUNGE DJ'S,,JAG'Z ACID LOUNGE,SUNDAY,18:00 - 23:00
ACOLLECTIVE,http://www.joinacollective.com/en/home,GULLY,SATURDAY,17:15 - 18:15
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,WEDNESDAY,20:00 - 21:00
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,THURSDAY,21:00 - 23:00
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,THURSDAY,11:00 - 12:00
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,SATURDAY,21:00 - 23:00
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,SUNDAY,20:00 - 23:00
ACROJOU,http://www.acrojou.com,GLEBELAND,THURSDAY,18:00 - 18:25
