title,url,stage,day,time,description,timestamp_start,timestamp_end
"""SHANGRI-LA PRESENTS: THE WILDING"" AV SHOW",,SHANGRI-LA STAGE,FRIDAY,02:30 - 02:45,,2025-06-28T02:30:00+01:00,2025-06-28T02:45:00+01:00
"""SHANGRI-LA PRESENTS: THE WILDING"" AV SHOW",,SHANGRI-LA STAGE,FRIDAY,03:45 - 04:00,,2025-06-28T03:45:00+01:00,2025-06-28T04:00:00+01:00
"""SHANGRI-LA PRESENTS: THE WILDING"" AV SHOW",,SHANGRI-LA STAGE,FRIDAY,23:45 - 00:00,,2025-06-27T23:45:00+01:00,2025-06-28T00:00:00+01:00
"""SHANGRI-LA PRESENTS: THE WILDING"" AV SHOW",,SHANGRI-LA STAGE,SATURDAY,00:45 - 01:00,,2025-06-29T00:45:00+01:00,2025-06-29T01:00:00+01:00
"""SHANGRI-LA PRESENTS: THE WILDING"" AV SHOW",,SHANGRI-LA STAGE,SATURDAY,02:30 - 02:45,,2025-06-29T02:30:00+01:00,2025-06-29T02:45:00+01:00
"""SHANGRI-LA PRESENTS: THE WILDING"" AV SHOW",,SHANGRI-LA STAGE,SATURDAY,23:45 - 00:00,,2025-06-28T23:45:00+01:00,2025-06-29T00:00:00+01:00
"""SHANGRI-LA PRESENTS: THE WILDING"" AV SHOW",,SHANGRI-LA STAGE,SUNDAY,00:15 - 00:30,,2025-06-30T00:15:00+01:00,2025-06-30T00:30:00+01:00
"""SHANGRI-LA PRESENTS: THE WILDING"" AV SHOW",,SHANGRI-LA STAGE,SUNDAY,01:45 - 02:00,,2025-06-30T01:45:00+01:00,2025-06-30T02:00:00+01:00
"""SHANGRI-LA PRESENTS: THE WILDING"" AV SHOW",,SHANGRI-LA STAGE,SUNDAY,03:15 - 03:30,,2025-06-30T03:15:00+01:00,2025-06-30T03:30:00+01:00
"""SHANGRI-LA PRESENTS: THE WILDING"" AV SHOW",,SHANGRI-LA STAGE,THURSDAY,00:30 - 00:45,,2025-06-27T00:30:00+01:00,2025-06-27T00:45:00+01:00
"""SHANGRI-LA PRESENTS: THE WILDING"" AV SHOW",,SHANGRI-LA STAGE,THURSDAY,01:45 - 02:00,,2025-06-27T01:45:00+01:00,2025-06-27T02:00:00+01:00
"""SHANGRI-LA PRESENTS: THE WILDING"" AV SHOW",,SHANGRI-LA STAGE,THURSDAY,23:15 - 23:30,,2025-06-26T23:15:00+01:00,2025-06-26T23:30:00+01:00
(INTRO BY DIRECTOR GARTH JENNINGS) SING,Https://youtu.be/9qPgK_u4vX8?si=-rMBTagD99OU-Ym2,PILTON PALAIS CINEMA,FRIDAY,11:00 - 12:50,,2025-06-27T11:00:00+01:00,2025-06-27T12:50:00+01:00
(INTRO BY TILDA SWINTON) CONSTANTINE,https://youtu.be/DEa508Xmmio?si=C-KrBSSB7t0OUVor,PILTON PALAIS CINEMA,WEDNESDAY,20:00 - 22:05,,2025-06-25T20:00:00+01:00,2025-06-25T22:05:00+01:00
(INTRO BY TOBY L ) BLUR  LIVE AT WEMBLEY STADIUM,https://www.youtube.com/watch?v=55yFKSt2aqo,PILTON PALAIS CINEMA,THURSDAY,14:45 - 17:00,,2025-06-26T14:45:00+01:00,2025-06-26T17:00:00+01:00
(INTRO DAN SMITH _BASTILLE_) WILD AT HEART,https://youtu.be/IP7N8E2OjIo?si=ZouXWkl9PkZaV764,PILTON PALAIS CINEMA,THURSDAY,22:00 - 00:15,,2025-06-26T22:00:00+01:00,2025-06-27T00:15:00+01:00
(Q&A WITH ANDREW GARFIELD) WE LIVE IN TIME,https://youtu.be/bS0Clau5700?si=cBjxRC2vR8jKIDj6,PILTON PALAIS CINEMA,THURSDAY,17:00 - 19:10,,2025-06-26T17:00:00+01:00,2025-06-26T19:10:00+01:00
