title,url,stage,day,time,lfm_id
A Man To Pet,,NYC DOWNLOW,SUNDAY,01:25 - 01:30,65018997
Aaron Douglas,http://www.aarondouglasmusic.co.uk,SMALL WORLD STAGE,SUNDAY,18:45 - 19:45,17908096
Abandoman,http://robbroderick.com,THE BREAD AND ROSES,FRIDAY,18:00 - 19:00,58308706
Abi Baker,http://www.abibakermusic.co.uk,AVALON CAFÉ STAGE,WEDNESDAY,19:30 - 20:30,21896121
Able Mable,http://www.ablemable.org.uk,A LITTLE MORE SENSATION,FRIDAY,12:35 - 13:05,52413990
Acollective,http://www.joinacollective.com/en/home,GULLY,SATURDAY,17:15 - 18:15,59163501
Adam Beyer,,ARCADIA,FRIDAY,01:30 - 03:00,1016684
Adam Cohen,http://adamcohen.com/,OTHER STAGE,SUNDAY,13:00 - 13:50,1106661
Aero,,BABYLON UPRISING,SATURDAY,16:00 - 17:00,2156572
Afficoman,,HEDS PARTY IN SONIC,THURSDAY,20:00 - 00:00,10825241
Age Of Glass,http://theageofglass.com,RABBIT HOLE,SATURDAY,03:00 - 04:00,75339756
Agrupacion Carino,https://www.youtube.com/watch?v=861iODpjZaE,THE RUM SHACK,THURSDAY,20:00 - 21:00,44922549
Aidan,,LONDON UNDERGROUND,WEDNESDAY,00:30 - 01:45,10055008
Akala,http://www.akalamusic.moonfruit.com/,LEFT FIELD,SATURDAY,19:30 - 20:30,1300892
Akua Naru,http://www.akuanaru.com/,GLADE,FRIDAY,18:05 - 19:05,45470116
Al o'Kane,,AVALON CAFÉ STAGE,SATURDAY,11:30 - 12:15,33948089
Alabama 3,http://www.alabama3.co.uk,GLADE,FRIDAY,22:55 - 00:25,1839
Alabama Shakes,http://www.alabamashakes.com,PYRAMID STAGE,FRIDAY,14:30 - 15:30,70148515
Alastair Caplin,,THE LIZARD STAGE,SUNDAY,16:00 - 17:00,74961963
Alex Edelman,,CABARET,SUNDAY,17:00 - 17:30,34231109
Alex Metric,https://soundcloud.com/alexmetric,BEZ'S ACID HOUSE,FRIDAY,02:00 - 04:00,13800660
Alfie Connor,https://www.facebook.com/alfieconnormusic,BBC INTRODUCING,SUNDAY,14:15 - 14:40,74899805
Alfred,,THE BANDSTAND,SATURDAY,15:00 - 15:40,6828344
Aliji,https://soundcloud.com/aliji_music/summer-is-coming,GLADE LOUNGE,FRIDAY,21:00 - 22:00,16891605
Alistair Barrie,http://www.alistairbarrie.com,CABARET,SATURDAY,23:45 - 00:15,62467436
All We Are,http://www.thisisallweare.co.uk/,WILLIAM'S GREEN,SUNDAY,14:00 - 14:40,13030795
Alley Cat,,LONDON UNDERGROUND,SATURDAY,23:15 - 00:30,1167600
Alo Wala,https://www.facebook.com/alowalamusic,LA PUSSY PARLURE,SUNDAY,00:45 - 01:45,92538754
alt-J,http://www.altjband.com,PYRAMID STAGE,SUNDAY,17:45 - 18:45,68858067
Altern 8,,ARCADIA,SUNDAY,01:00 - 02:30,1039016
Alvvays,http://alvvays.com/,JOHN PEEL STAGE,SUNDAY,15:40 - 16:20,83686538
Amateurism,http://amateurism.co.uk/,THE BEAT HOTEL,SATURDAY,12:00 - 13:30,93253715
Amy Becker,,ARCADIA,SUNDAY,18:00 - 19:00,78776619
Andrew Maxwell Morris,http://www.andrewmaxwellmorris.com,TOAD HALL,WEDNESDAY,20:00 - 20:45,92067967
Andrew Maxwell,http://www.andrewmaxwellcomedian.com,CABARET,SATURDAY,01:30 - 02:00,17844881
Andreya Triana,,GREENPEACE,SATURDAY,17:00 - 17:45,10961167
Andy Butler,,GENOSYS,FRIDAY,18:00 - 19:30,6923707
Andy Kershaw,,GULLY,SATURDAY,21:30 - 23:00,6912466
Andy P,,DELUXE DINER,Sunday,02:00 - 05:00,1029528
Andy P,,DELUXE DINER,Thursday,01:00 - 02:30,1029528
Andy Snatch,http://www.andysnatch.com,THE PAVEMENT,FRIDAY,11:20 - 11:50,44269034
AndyP,,DELUXE DINER,Saturday,15:00 - 17:00,34265784
Angie Mack,http://Http://www.dazzlingmills.com,THE PAVEMENT,FRIDAY,10:10 - 10:40,42271924
Anicca,,BABYLON UPRISING,SATURDAY,20:00 - 21:00,27322285
Animal Crackers,http://steviepea.wix.com/peapod,ANCIENT FUTURES,THURSDAY,00:30 - 01:30,1120919
Anna Freeman,http://www.annafreemanwriter.com,POETRY&WORDS,SUNDAY,14:05 - 14:50,57573103
Annie Mac,,ARCADIA,SATURDAY,23:30 - 00:30,10063708
Annie Nightingale,https://www.facebook.com/AnnieNightingale.DJ,GLADE,SATURDAY,00:35 - 01:45,6887609
Anton Maskeliade,http://www.maskeliade.com/,SONIC,SATURDAY,12:00 - 13:00,51666814
Antosh Wojcik,https://antoshwojciksyllablesyndrome.wordpress.com/,POETRY&WORDS,FRIDAY,13:20 - 13:40,86190927
