A GUY CALLED GERALD (80S ELECTRO FUNK SET),http://www.guycalledgerald.com,THE SPIKE,SUNDAY,16:30 - 17:30
A GUY CALLED GERALD,http://www.guycalledgerald.com,GLADE,THURSDAY,00:50 - 02:50
A GUY CALLED GERALD,http://www.guycalledgerald.com,GLADE,SATURDAY,19:55 - 21:25
A MAN BARELY ALIVE,https://www.soundcloud.com/amanbarelyalive,THE SPACEPORT,FRIDAY,19:00 - 20:00
A SAGITTARIUN,http://www.a-sagittariun.com/,WOW!,SUNDAY,19:00 - 20:00
AARON DOUGLAS,,SMALL WORLD STAGE,SUNDAY,21:45 - 22:45
ABANDOMAN,,SENSATION SEEKERS STAGE,FRIDAY,14:00 - 14:30
ABANDOMAN,,SENSATION SEEKERS STAGE,SATURDAY,14:00 - 14:30
ABANDOMAN,,SENSATION SEEKERS STAGE,SUNDAY,14:00 - 14:30
"ACOUSTIC MASTERCLASS WITH RORY MCCLOUD, STEVE KNIGHTLY, RODNEY BRANIGAN",http://www.acm.ac.uk/rodney-branigan-guitar-masterclass/,TOAD HALL,SATURDAY,13:00 - 14:30
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,WEDNESDAY,11:00 - 11:30
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,THURSDAY,11:00 - 12:00
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,FRIDAY,13:00 - 13:45
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,SATURDAY,11:15 - 12:00
ADAM F,https://www.soundcloud.com/adam-f-breakbeat-kaos,THE SPACEPORT,SATURDAY,00:55 - 02:55
ADAM NEVILLE,,THE RUM SHACK,SATURDAY,22:00 - 22:50
ADAM NEVILLE,,THE RUM SHACK,SATURDAY,20:00 - 21:00
ADAM SCOTT GLASSPOOL,https://adamscottglasspool.bandcamp.com/,THE LIZARD STAGE,THURSDAY,16:00 - 17:00
ADAM SCOTT GLASSPOOL,https://www.facebook.com/adamscottglasspool/,MANDALA STAGE,FRIDAY,14:00 - 15:00
ADAM SCOTT GLASSPOOL,https://www.facebook.com/adamscottglasspool/,MANDALA STAGE,SATURDAY,15:00 - 16:00
ADAM SCOTT GLASSPOOL,http://www.adamscottglasspool.com,THE RABBIT HOLE,SUNDAY,13:00 - 13:30
ADELE,http://adele.com/,PYRAMID STAGE,SATURDAY,22:15 - 23:45
ADY SULEIMAN,http://adysuleimanofficial.com/,PUSSY PARLURE,SATURDAY,15:00 - 16:00
AFRO CLUSTER,http://afrocluster.co.uk/,BBC INTRODUCING,SUNDAY,16:05 - 16:30
AIDAN DOHERTY,,GLADE LOUNGE,FRIDAY,22:30 - 00:00
AIDAN KNIGHT,http://aidanknight.com/,WILLIAM'S GREEN,SUNDAY,14:00 - 14:40
AILEEN WILKIE (COMPERE),,THE SUMMER HOUSE,FRIDAY,14:00 - 17:15
AILEEN WILKIE (COMPERE),,THE SUMMER HOUSE,SATURDAY,14:00 - 17:15
AILEEN WILKIE (COMPERE),,THE SUMMER HOUSE,SUNDAY,14:00 - 17:15
AKA DANCE THEATRE COMPANY,,GLEBELAND,FRIDAY,14:30 - 15:00
AKA DANCE THEATRE COMPANY,,GLEBELAND,FRIDAY,12:30 - 13:00
AKA DANCE THEATRE COMPANY,,GLEBELAND,SATURDAY,14:30 - 15:00
AKA DANCE THEATRE COMPANY,,GLEBELAND,SATURDAY,12:30 - 13:00
AKA DANCE THEATRE COMPANY,,GLEBELAND,SUNDAY,14:30 - 15:00
AKA DANCE THEATRE COMPANY,,GLEBELAND,SUNDAY,12:30 - 13:00
AKA GEORGE,,BBC INTRODUCING,FRIDAY,19:45 - 20:10
AKASE,http://www.akasemusic.com/,WOW!,SUNDAY,21:00 - 22:00
AKASHA,http://www.akasha.co.uk,AVALON CAFÉ STAGE,SATURDAY,01:30 - 03:00
AKASHA,http://www.akasha.co.uk/,THE BANDSTAND,SUNDAY,23:20 - 00:30
ALABAMA 3 DJ SET (A3 SET),http://www.alabama3.co.uk,THE SPIKE,FRIDAY,19:00 - 21:00
ALABAMA 3 DJ SET (FUNK SET),http://www.alabama3.co.uk,THE SPIKE,THURSDAY,22:00 - 00:00
ALABAMA 3 DJ SET,http://www.alabama3.co.uk,THE SPIKE,SATURDAY,01:15 - 03:00
ALAN FITZPATRICK,,ARCADIA,FRIDAY,22:30 - 23:30
ALESSIA CARA,http://www.alessiacara.com/,JOHN PEEL STAGE,SATURDAY,13:50 - 14:40
ALEXIA COLEY,http://www.alexiacoley.com/,PUSSY PARLURE,THURSDAY,22:00 - 22:50
ALIJI,,GLADE LOUNGE,THURSDAY,19:30 - 21:00
ALISON CHANGE,http://musicalison.bandcamp.com,MANDALA STAGE,THURSDAY,11:30 - 13:00
ALISON CHANGE,http://musicalison.bandcamp.com,MANDALA STAGE,FRIDAY,11:30 - 13:00
ALISON CHANGE,http://musicalison.bandcamp.com,MANDALA STAGE,SATURDAY,11:30 - 13:00
ALISON CHANGE,http://musicalison.bandcamp.com,MANDALA STAGE,SUNDAY,11:30 - 13:00
ALUNAGEORGE,http://www.alunageorge.com/,JOHN PEEL STAGE,FRIDAY,21:00 - 22:00
AMATEURISM,https://soundcloud.com/amateurism,THE BEAT HOTEL,SATURDAY,12:00 - 14:00
AMELIA - BREAKING BROKEN DREAMS,,A LITTLE MORE SENSATION,FRIDAY,14:05 - 14:35
AMELIA - BREAKING BROKEN DREAMS,,A LITTLE MORE SENSATION,SATURDAY,14:05 - 14:35
AMELIA - BREAKING BROKEN DREAMS,,A LITTLE MORE SENSATION,SUNDAY,14:05 - 14:35
ANCHORSONG,http://anchorsong.com/,THE RUM SHACK,FRIDAY,22:45 - 23:30
ANDREW MAXWELL MORRIS,http://andrewmaxwellmorris.com,TOAD HALL,WEDNESDAY,16:00 - 17:00
ANDREW MAXWELL MORRIS,http://andrewmaxwellmorris.com/,MANDALA STAGE,THURSDAY,14:00 - 15:00
ANDREW MAXWELL MORRIS,http://andrewmaxwellmorris.com/,MANDALA STAGE,FRIDAY,13:00 - 14:00
ANDREW MAXWELL MORRIS,http://www.andrewmaxwellmorris.com,AVALON CAFÉ STAGE,SATURDAY,10:30 - 11:15
