title,url,stage,day,time,mbid,lfm_url,orig_name
A Guy Called Gerald,http://www.guycalledgerald.com,GLADE,FRIDAY,01:30 - 02:50,b343730d-a34e-44d5-9191-a83f00231716,https://www.last.fm/music/A+Guy+Called+Gerald,A GUY CALLED GERALD
A Tribe Called Red,http://www.atribecalledred.com,GLADE,FRIDAY,20:25 - 21:25,284ee768-2c9a-440a-be37-db926e90fc1c,https://www.last.fm/music/A+Tribe+Called+Red,A TRIBE CALLED RED
A2,http://a2-vii.com/,SONIC,FRIDAY,13:00 - 13:30,23d04f07-ea84-437c-902f-d8c73508a0cc,https://www.last.fm/music/A2,A2
Abi Baker,http://www.abibakermusic.co.uk,AVALON CAFÉ STAGE,THURSDAY,10:00 - 10:45,,https://www.last.fm/music/Abi+Baker,ABI BAKER
Abra Cadabra,,WOW!,SUNDAY,22:30 - 23:15,,https://www.last.fm/music/Abra+Cadabra,ABRA CADABRA
Adam Freeland,,THE GAS TOWER,SATURDAY,00:20 - 02:00,51af3ae9-3f39-4b2c-bec3-ded427708590,https://www.last.fm/music/Adam+Freeland,ADAM FREELAND
Adam Scott Glasspool,https://www.facebook.com/adamscottglasspool/,MANDALA STAGE,WEDNESDAY,20:00 - 21:00,,https://www.last.fm/music/Adam+Scott+Glasspool,ADAM SCOTT GLASSPOOL
Addison Groove,,THE BLUES,SUNDAY,01:00 - 02:30,0b32db28-1a2a-4b4e-b9f2-ce0524987d4c,https://www.last.fm/music/Addison+Groove,ADDISON GROOVE
Afriquoi,http://www.afriquoi.com/,GULLY,SATURDAY,21:30 - 22:45,,https://www.last.fm/music/Afriquoi,AFRIQUOI
Aine Cahill,http://AINECAHILL.COM,BREAD AND ROSES,FRIDAY,18:00 - 19:00,,https://www.last.fm/music/Aine+Cahill,AINE CAHILL
AJ Tracey,http://www.ajtracey.co.uk/,SONIC,FRIDAY,21:00 - 21:45,,https://www.last.fm/music/AJ+Tracey,AJ TRACEY
Akua Naru,http://www.akuanaru.com/,PUSSY PARLURE,SATURDAY,20:30 - 21:30,260a97a9-2578-4d05-925c-a94e50b1fbbd,https://www.last.fm/music/Akua+Naru,AKUA NARU
Alabama 3 acoustic,,CROISSANT NEUF,FRIDAY,19:00 - 20:00,,https://www.last.fm/music/Alabama+3+acoustic,ALABAMA 3 ACOUSTIC
Alek Lee,https://www.facebook.com/ok.aleklee,THE BEAT HOTEL,WEDNESDAY,15:00 - 16:30,,https://www.last.fm/music/Alek+Lee,ALEK LEE
Algy Strutt,,THE RABBIT HOLE'S FUNKINGHAM PALACE,SUNDAY,23:00 - 00:00,,https://www.last.fm/music/Algy+Strutt,ALGY STRUTT
Aliji,,GLADE LOUNGE,THURSDAY,20:30 - 22:00,,https://www.last.fm/music/Aliji,ALIJI
Alison Moyet,http://alisonmoyet.com/,LEFT FIELD,SATURDAY,21:00 - 22:00,79feb79b-8f0d-4306-b30a-e28bd88c9323,https://www.last.fm/music/Alison+Moyet,ALISON MOYET
Alkalein,,TOLPUDDLE,THURSDAY,19:00 - 21:00,,https://www.last.fm/music/Alkalein,ALKALEIN
All We Are,http://www.thisisallweare.co.uk/,THE PARK STAGE,SUNDAY,14:00 - 14:45,a77ecc68-bd2d-483e-b21a-3b3dc21f611d,https://www.last.fm/music/All+We+Are,ALL WE ARE
Alsarah & The Nubatones,http://www.alsarah.com/,GULLY,SATURDAY,19:45 - 21:00,3e6c62cf-6163-48f1-b493-e8633563e3b4,https://www.last.fm/music/Alsarah+&+The+Nubatones,ALSARAH & THE NUBATONES
alt-J,http://www.altjband.com/,OTHER STAGE,SATURDAY,22:30 - 23:45,fc7bbf00-fbaa-4736-986b-b3ac0266ca9b,https://www.last.fm/music/alt-J,ALT-J
Altan,https://altan.ie/,ACOUSTIC STAGE,SUNDAY,15:25 - 16:05,e6211cf7-272f-4431-bbd3-40c081b992d4,https://www.last.fm/music/Altan,ALTAN
Altern 8,http://www.altern8official.com,SPACEPORT,FRIDAY,17:00 - 18:00,3b6243aa-3814-49a0-8505-4bd6d6183d46,https://www.last.fm/music/Altern+8,ALTERN 8
Amateurism,http://amateurism.co.uk/,THE BEAT HOTEL,SATURDAY,12:30 - 14:00,,https://www.last.fm/music/Amateurism,AMATEURISM
Amber Arcades,http://www.amberarcades.net/,THE PARK STAGE,SATURDAY,12:15 - 13:00,,https://www.last.fm/music/Amber+Arcades,AMBER ARCADES
Amp Fiddler,http://www.ampfiddler.com/,GREENPEACE/ENGINE ROOM,THURSDAY,22:30 - 23:30,852cc178-8678-4e98-a34b-6a319dc00c8c,https://www.last.fm/music/Amp+Fiddler,AMP FIDDLER
Anderson .Paak & The Free Nationals,http://www.andersonpaak.com/,WEST HOLTS STAGE,FRIDAY,20:45 - 21:45,,https://www.last.fm/music/Anderson+.Paak+&+The+Free+Nationals,ANDERSON .PAAK & THE FREE NATIONALS
Andrew Maxwell Morris,http://HTTP://ANDREWMAXWELLMORRIS.COM,TOAD HALL,WEDNESDAY,22:15 - 23:00,,https://www.last.fm/music/Andrew+Maxwell+Morris,ANDREW MAXWELL MORRIS
Andy and the Odd Socks,http://andyday.tv/,WILLIAM'S GREEN,SUNDAY,11:00 - 11:40,,https://www.last.fm/music/Andy+and+the+Odd+Socks,ANDY AND THE ODD SOCKS
Andy Barker,https://www.mixcloud.com/andy-barker/,BEZ'S FLYING BUS,SATURDAY,01:30 - 02:30,,https://www.last.fm/music/Andy+Barker,ANDY BARKER
Andy Carroll,,GREENPEACE/ENGINE ROOM,THURSDAY,01:30 - 03:00,,https://www.last.fm/music/Andy+Carroll,ANDY CARROLL
Andy Fairweather Low & The Low Riders,http://andyfairweatherlow.com/,ACOUSTIC STAGE,SATURDAY,17:25 - 18:10,,https://www.last.fm/music/Andy+Fairweather+Low+&+The+Low+Riders,ANDY FAIRWEATHER LOW & THE LOW RIDERS
Andy Fairweather Low,http://andyfairweatherlow.com/,ACOUSTIC STAGE,SATURDAY,17:25 - 18:10,7abb4b9b-6772-47ee-81b5-5da95a726e2a,https://www.last.fm/music/Andy+Fairweather+Low,ANDY FAIRWEATHER LOW
The Low Riders,http://andyfairweatherlow.com/,ACOUSTIC STAGE,SATURDAY,17:25 - 18:10,,https://www.last.fm/music/The+Low+Riders,THE LOW RIDERS
Andy Quick,http://www.andyquickmusic.com,THE RABBIT HOLE,FRIDAY,21:30 - 22:30,,https://www.last.fm/music/Andy+Quick,ANDY QUICK
Angel Olsen,https://angelolsen.com/,THE PARK STAGE,FRIDAY,18:00 - 19:00,185527bf-c293-4c24-8213-ed98fb8976be,https://www.last.fm/music/Angel+Olsen,ANGEL OLSEN
