title,url,stage,day,time,mbid,lfm_url,orig_name
A For Alpha,http://a for alpha (@aforalphaaa) | instagram,NOWHERE,FRIDAY,20:00 - 21:00,,,https://www.last.fm/music/A+For+Alpha,A FOR ALPHA
Arlo,http://a for alpha (@aforalphaaa) | instagram,NOWHERE,FRIDAY,20:00 - 21:00,,b3911325-ae55-4131-943f-cbd9027e0040,https://www.last.fm/music/Arlo,ARLO
A Little Sound,https://www.instagram.com/alittlesounduk/,THE TEMPLE,THURSDAY,22:30 - 23:15,,,https://www.last.fm/music/A+Little+Sound,A LITTLE SOUND
Above and Beyond,,OUTSIDE CIRCUS STAGE,FRIDAY,00:25 - 00:33,,,https://www.last.fm/music/Above+and+Beyond,ABOVE AND BEYOND
Absolute.,,STONEBRIDGE BAR,THURSDAY,16:30 - 18:00,,,https://www.last.fm/music/Absolute.,ABSOLUTE.
Jodie Harsh,,STONEBRIDGE BAR,THURSDAY,16:30 - 18:00,,,https://www.last.fm/music/Jodie+Harsh,JODIE HARSH
Actress,https://www.whoisactress.com/,IICON,FRIDAY,01:50 - 02:50,,a7471c4a-da27-4868-a8c6-5567eab382fb,https://www.last.fm/music/Actress,ACTRESS
Adam Scott Glasspool,https://adamscottglasspool.bandcamp.com/album/asgkye,THE LIZARD STAGE,THURSDAY,19:00 - 20:00,,,https://www.last.fm/music/Adam+Scott+Glasspool,ADAM SCOTT GLASSPOOL
Adam Shelton,https://ra.co/dj/adamshelton,IICON,THURSDAY,21:15 - 23:15,,9cf89ec8-9e98-4d0a-a7f4-1a41fa45bfe6,https://www.last.fm/music/Adam+Shelton,ADAM SHELTON
ADG7,https://www.instagram.com/adg7_official/,WEST HOLTS STAGE,FRIDAY,14:30 - 15:30,Korean culture has blown up worldwide but ADG7 take a deeper dive into ancient Shamanistic tales delivered with huge style and humour.,,https://www.last.fm/music/ADG7,ADG7
Adwaith,https://www.adwaithmusic.com/,THE PARK STAGE,FRIDAY,11:30 - 12:10,Welsh indie rock outfit who tore up the BBC Music Introducing stage last year and bring their reactive sounds to a bigger audience.,,https://www.last.fm/music/Adwaith,ADWAITH
African Head Charge,https://linktr.ee/africanheadcharge,GLADE,SATURDAY,16:00 - 17:10,"Long-running collaboration between master Jamaican percussionist Bonjo Iyabinghi L Noah and English dub producer Adrian Sherwood, a unique blend of polyrhythmic outernational sounds.",9b30a687-a841-4b91-b1d8-a0ba5b6085ea,https://www.last.fm/music/African+Head+Charge,AFRICAN HEAD CHARGE
Gaudi,https://linktr.ee/africanheadcharge,GLADE,SATURDAY,16:00 - 17:10,"Long-running collaboration between master Jamaican percussionist Bonjo Iyabinghi L Noah and English dub producer Adrian Sherwood, a unique blend of polyrhythmic outernational sounds.",ecbe7008-86ad-4eb2-a75d-25e9c91c750d,https://www.last.fm/music/Gaudi,GAUDI
Blacksmith,https://aftrecords.com/,BLIND TIGER,THURSDAY,21:00 - 22:00,,af237347-0b53-450c-a913-f5a96b506fcf,https://www.last.fm/music/Blacksmith,BLACKSMITH
Carasel,https://aftrecords.com/,BLIND TIGER,THURSDAY,21:00 - 22:00,,,https://www.last.fm/music/Carasel,CARASEL
Frenic,https://aftrecords.com/,BLIND TIGER,THURSDAY,21:00 - 22:00,,979d5884-a2de-4be8-9468-bb32f76a23c8,https://www.last.fm/music/Frenic,FRENIC
more tba,https://aftrecords.com/,BLIND TIGER,SUNDAY,02:00 - 05:00,,,https://www.last.fm/music/more+tba,MORE TBA
Kelvin 373,https://aftrecords.com/,BLIND TIGER,SUNDAY,02:00 - 05:00,,,https://www.last.fm/music/Kelvin+373,KELVIN 373
Dubbz,https://aftrecords.com/,BLIND TIGER,SUNDAY,02:00 - 05:00,,,https://www.last.fm/music/Dubbz,DUBBZ
Move,https://aftrecords.com/,BLIND TIGER,SUNDAY,02:00 - 05:00,,b58a2815-9c15-4fc8-b023-9bea7207e877,https://www.last.fm/music/Move,MOVE
Deviant,https://aftrecords.com/,BLIND TIGER,SUNDAY,02:00 - 05:00,,c1f2774a-80b2-447f-a9da-1c1a3dc5fa04,https://www.last.fm/music/Deviant,DEVIANT
Changing Ways,https://aftrecords.com/,BLIND TIGER,SUNDAY,02:00 - 05:00,,,https://www.last.fm/music/Changing+Ways,CHANGING WAYS
Kaydan,https://aftrecords.com/,BLIND TIGER,SUNDAY,02:00 - 05:00,,,https://www.last.fm/music/Kaydan,KAYDAN
Savvy B,https://aftrecords.com/,BLIND TIGER,SUNDAY,02:00 - 05:00,,,https://www.last.fm/music/Savvy+B,SAVVY B
Ahadadream,https://www.instagram.com/ahadadreamx/,NOWHERE,FRIDAY,14:00 - 15:00,,,https://www.last.fm/music/Ahadadream,AHADADREAM
Ailbhe Reddy,https://ailbhereddy.com,CROISSANT NEUF,SATURDAY,15:00 - 16:00,,,https://www.last.fm/music/Ailbhe+Reddy,AILBHE REDDY
Aitch,https://www.aitchofficial.com/,PYRAMID STAGE,SATURDAY,16:00 - 17:00,"UK rapper who’s continually charted with his own tunes as well as teaming up for singles with Anne Marie, Ed Sheeran, Ashanti and ArrDee last year.",,https://www.last.fm/music/Aitch,AITCH
AK SPORTS,https://www.instagram.com/aksportsdj/,THE TEMPLE,SATURDAY,04:30 - 06:00,,,https://www.last.fm/music/AK+SPORTS,AK SPORTS
Akira,https://coventgardenentertainment.co.uk/performers/akira-street-performer/,THE PAVEMENT,THURSDAY,13:45 - 14:15,,fb2fc980-381b-4158-ad88-e6512c7a8af2,https://www.last.fm/music/Akira,AKIRA
Al Lewis,https://www.allewismusic.com/,ACOUSTIC STAGE,FRIDAY,11:30 - 12:00,Award winning bilingual singer-songwriter from Wales with a penchant for choral folk and a fine line in thought provoking lyrics.,614bc5f4-0ef9-48fe-ae4c-9722f3cbef7d,https://www.last.fm/music/Al+Lewis,AL LEWIS
Alabaster Deplume,https://www.instagram.com/alabaster_deplume/?hl=en,THE PARK STAGE,FRIDAY,12:45 - 13:30,"Activist, composer and songwriter with a spiritual jazz vibe to underpin his outspoken poetry.",4c1d0414-f5d7-4882-92fc-ba2421b82d40,https://www.last.fm/music/Alabaster+Deplume,ALABASTER DEPLUME
Alex Hall,https://alexhallmusic.co.uk/,THE LIZARD STAGE,SATURDAY,19:00 - 20:00,,,https://www.last.fm/music/Alex+Hall,ALEX HALL
Alex Rex,https://alexrex.bandcamp.com/,THE BANDSTAND,SATURDAY,16:00 - 16:40,,,https://www.last.fm/music/Alex+Rex,ALEX REX
Wonka,https://www.instagram.com/alexisitry/,NOWHERE,FRIDAY,19:00 - 20:00,,0b49b8e4-b7d8-401f-8564-60a7cda82d30,https://www.last.fm/music/Wonka,WONKA
Aliji,https://www.facebook.com/alijimusic/,GLADE DOME,SUNDAY,18:55 - 20:05,,,https://www.last.fm/music/Aliji,ALIJI
Alison Goldfrapp,https://www.goldfrapp.com/,THE PARK STAGE,SUNDAY,18:15 - 19:15,The electronic pop sensation now out on her own with her tribute to the dancefloor on just released album ‘The Love Invention’.,,https://www.last.fm/music/Alison+Goldfrapp,ALISON GOLDFRAPP
Allison Russell,https://www.facebook.com/allisonrussellmusic/,ACOUSTIC STAGE,FRIDAY,12:10 - 12:40,"Poet, singer, songwriter, multi-instrumentalist, activist and co-founder of Our Native Daughters and Birds of Chicago with songs about deliverance and redemption.",,https://www.last.fm/music/Allison+Russell,ALLISON RUSSELL
Alma Twist,https://soundcloud.com/katrynaabel,THE LIZARD STAGE,SATURDAY,17:30 - 18:30,,,https://www.last.fm/music/Alma+Twist,ALMA TWIST
Alps 2,https://alps2.bandcamp.com/,STRUMMERVILLE,SATURDAY,22:30 - 00:00,,,https://www.last.fm/music/Alps+2,ALPS 2
ALT BLK ERA,https://www.altblkera.com/,TRUTH STAGE,THURSDAY,02:30 - 03:00,,,https://www.last.fm/music/ALT+BLK+ERA,ALT BLK ERA
alt-J,https://www.altjband.com/,THE PARK STAGE,SUNDAY,21:15 - 22:30,"Sonically flawless, deep and emotional indie art rock from this UK trio whose fourth album ‘The Dream’ was unanimously acclaimed.",fc7bbf00-fbaa-4736-986b-b3ac0266ca9b,https://www.last.fm/music/alt-J,ALT-J
Altar,https://www.instagram.com/t_for_teezle/,BABYLON UPRISING,FRIDAY,01:00 - 02:45,,fb8b5671-1422-40a3-bc8d-c1cbd9b4dc21,https://www.last.fm/music/Altar,ALTAR
Teezle,https://www.instagram.com/t_for_teezle/,BABYLON UPRISING,FRIDAY,01:00 - 02:45,,,https://www.last.fm/music/Teezle,TEEZLE
Altern 8 b2b Shadow Child,https://www.instagram.com/altern8official/,THE TEMPLE,FRIDAY,05:00 - 06:00,,,https://www.last.fm/music/Altern+8+b2b+Shadow+Child,ALTERN 8 B2B SHADOW CHILD
alyona alyona,https://www.instagram.com/alyona.alyona.official/,THE RUM SHACK,THURSDAY,20:30 - 21:30,,,https://www.last.fm/music/alyona+alyona,ALYONA ALYONA
Amadou & Mariam,https://www.instagram.com/amadouetmariam/,PYRAMID STAGE,SATURDAY,14:30 - 15:30,Grammy-nominated Malian duo who’ve successfully brought together their West African musical roots and more contemporary R&B.,1fb60b6c-0f4d-42b4-8a5e-de705ec76660,https://www.last.fm/music/Amadou+&+Mariam,AMADOU & MARIAM
Amateurism,https://www.amateurism.co.uk,SAN REMO,SATURDAY,12:00 - 14:00,,,https://www.last.fm/music/Amateurism,AMATEURISM
Amie Blu,https://www.instagram.com/amiebluu/,GREENPEACE,THURSDAY,13:45 - 14:30,,,https://www.last.fm/music/Amie+Blu,AMIE BLU
Anais,http://anaïs jan (@anaisjan) • instagram photos and videos,NOWHERE,SATURDAY,15:00 - 16:00,,dfd0087e-64e2-4677-9d31-23f25974c138,https://www.last.fm/music/Anais,ANAIS
Analog Soul,https://ra.co/dj/analogsoul,GENOSYS SOUND SYSTEM,SATURDAY,01:00 - 02:30,,,https://www.last.fm/music/Analog+Soul,ANALOG SOUL
Andrew Maxwell Morris,,SMALL WORLD STAGE,FRIDAY,13:00 - 14:00,,,https://www.last.fm/music/Andrew+Maxwell+Morris,ANDREW MAXWELL MORRIS
Andy C,http://andy c (@andyc_ramagram) | instagram,NOWHERE,SATURDAY,01:00 - 02:30,,ec853694-30a1-4c7e-84e6-4ca87ee3c314,https://www.last.fm/music/Andy+C,ANDY C
Andy Carroll,,GREENPEACE,SUNDAY,21:45 - 23:30,,,https://www.last.fm/music/Andy+Carroll,ANDY CARROLL
Andy Cato,,FLYING BUS,SUNDAY,01:30 - 02:30,,15649f44-ae4f-40d6-857e-820db654f1ea,https://www.last.fm/music/Andy+Cato,ANDY CATO
Angeline Morrison,https://www.angelinemorrisonmusic.com/,ACOUSTIC STAGE,SUNDAY,11:30 - 12:00,"Folk singer, songwriter and multi-instrumentalist whose 2022 album ‘The Sorrow Songs: Folk Songs of Black British Experience’ was voted No 1 Folk Album of the year.",,https://www.last.fm/music/Angeline+Morrison,ANGELINE MORRISON
Angie Mack,https://www.hulahooper.com/,THE PAVEMENT,THURSDAY,14:55 - 15:25,,,https://www.last.fm/music/Angie+Mack,ANGIE MACK
Ani Glass,https://aniglass.bandcamp.com,TOAD HALL,SUNDAY,17:15 - 18:00,,,https://www.last.fm/music/Ani+Glass,ANI GLASS
Annie Mac,https://www.instagram.com/anniemacmanus/?hl=en,SAN REMO,FRIDAY,22:00 - 00:00,,573f2d10-82c2-43f0-8726-d560c82eb430,https://www.last.fm/music/Annie+Mac,ANNIE MAC
ANS,https://en.wikipedia.org/wiki/glade_festival,RABBIT HOLE'S FUNKINGHAM PALACE,SATURDAY,02:30 - 04:00,,876488ef-6db9-4f66-8747-0f76562caebe,https://www.last.fm/music/ANS,ANS
ANZ,https://www.instagram.com/anzieanz/?hl=en // https://www.instagram.com/s_p_e_c_i_a_l_r_e_q_u_e_s_t/?hl=en,SAN REMO,THURSDAY,00:00 - 03:00,,,https://www.last.fm/music/ANZ,ANZ
Special Request,https://www.instagram.com/anzieanz/?hl=en // https://www.instagram.com/s_p_e_c_i_a_l_r_e_q_u_e_s_t/?hl=en,SAN REMO,THURSDAY,00:00 - 03:00,,e88c14f6-c288-4d47-8024-0082f057e343,https://www.last.fm/music/Special+Request,SPECIAL REQUEST
Apiento,https://www.instagram.com/apiento/?hl=en,SAN REMO,THURSDAY,16:30 - 18:00,,,https://www.last.fm/music/Apiento,APIENTO
Apple Shakers,https://appleshakers.co.uk,CROISSANT NEUF BANDSTAND,THURSDAY,14:00 - 14:30,,,https://www.last.fm/music/Apple+Shakers,APPLE SHAKERS
Araminta,https://www.instagram.com/thearaminta/,GLADE DOME,SATURDAY,12:00 - 13:00,,,https://www.last.fm/music/Araminta,ARAMINTA
Arctic Monkeys,https://arcticmonkeys.com/,PYRAMID STAGE,FRIDAY,22:15 - 23:45,"Hitting a much more mellow and melodramatic tip on latest album ‘The Car’, the Monkeys’ lounge funk and dramatic film noir sound will be the perfect soundtrack to close day one on the Pyramid.",ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,https://www.last.fm/music/Arctic+Monkeys,ARCTIC MONKEYS
Area 51,,OUTSIDE CIRCUS STAGE,FRIDAY,00:38 - 00:45,,52b4cc54-2077-44ea-90ea-a10d380108aa,https://www.last.fm/music/Area+51,AREA 51
Arielle Free,https://www.instagram.com/ariellefree,GLADE,THURSDAY,21:05 - 22:05,"Influential, aspirational and undoubtedly one of the hardest working DJs on the scene, from Radio One to club DJ, label owner and producer.",,https://www.last.fm/music/Arielle+Free,ARIELLE FREE
Aries,,THE SALON CAROUSEL,FRIDAY,00:45 - 01:45,,8570780a-c1f5-442b-8d88-d3907aaa2536,https://www.last.fm/music/Aries,ARIES
Around About Dusk,https://www.rachellawrencemusic.co.uk/aroundaboutdusk/,THE BANDSTAND,SUNDAY,14:00 - 14:40,,,https://www.last.fm/music/Around+About+Dusk,AROUND ABOUT DUSK
Artwork,https://ra.co/dj/artwork,NYC DOWNLOW,SUNDAY,02:00 - 03:25,,ae101944-f854-4e59-b5e8-04bf4e351b8e,https://www.last.fm/music/Artwork,ARTWORK
Askew,,THE RABBIT HOLE,FRIDAY,17:30 - 18:00,,370487a6-69a2-40ab-971d-f40d8a0bdce2,https://www.last.fm/music/Askew,ASKEW
Carlita,https://www.instagram.com/djtennis/?hl=en // https://www.instagram.com/carlita_music/?hl=en,SAN REMO,SUNDAY,22:00 - 01:00,,,https://www.last.fm/music/Carlita,CARLITA
Astra Club,https://www.instagram.com/djtennis/?hl=en // https://www.instagram.com/carlita_music/?hl=en,SAN REMO,SUNDAY,22:00 - 01:00,,,https://www.last.fm/music/Astra+Club,ASTRA CLUB
DJ Tennis & Carlita,https://www.instagram.com/djtennis/?hl=en // https://www.instagram.com/carlita_music/?hl=en,SAN REMO,SUNDAY,22:00 - 01:00,,,https://www.last.fm/music/DJ+Tennis+&+Carlita,DJ TENNIS & CARLITA
DJ Tennis,https://www.instagram.com/djtennis/?hl=en // https://www.instagram.com/carlita_music/?hl=en,SAN REMO,SUNDAY,22:00 - 01:00,,e3f7dc2c-40d3-41ee-b120-3b4cd9fe90bd,https://www.last.fm/music/DJ+Tennis,DJ TENNIS
Born On Road,https://bornonroad.com/,FLYING BUS,THURSDAY,23:05 - 00:00,,,https://www.last.fm/music/Born+On+Road,BORN ON ROAD
Sugar Shane,https://youtube.com/@sugarshane_1,FLYING BUS,THURSDAY,22:30 - 23:00,,,https://www.last.fm/music/Sugar+Shane,SUGAR SHANE
Dj Chunky,https://soundcloud.com/zedbiasakamaddslinky,FLYING BUS,THURSDAY,20:45 - 22:15,,,https://www.last.fm/music/Dj+Chunky,DJ CHUNKY
Zed Bias,https://soundcloud.com/zedbiasakamaddslinky,FLYING BUS,THURSDAY,20:45 - 22:15,,3e8a6653-76a4-4deb-b25a-73c536fad149,https://www.last.fm/music/Zed+Bias,ZED BIAS
fftp,https://linktr.ee/atchintan,FLYING BUS,THURSDAY,20:00 - 20:40,,,https://www.last.fm/music/fftp,FFTP
Autumn Saints,https://www.theautumnsaints.com/,MANDALA STAGE,SATURDAY,19:00 - 20:00,,,https://www.last.fm/music/Autumn+Saints,AUTUMN SAINTS
Axel Boy,https://axelboymusic.com/,GLADE DOME,THURSDAY,20:15 - 21:15,,,https://www.last.fm/music/Axel+Boy,AXEL BOY
Baby Soul,https://www.instagram.com/babysoul7,RABBIT HOLE'S FUNKINGHAM PALACE,FRIDAY,21:00 - 22:15,,,https://www.last.fm/music/Baby+Soul,BABY SOUL
Badly Drawn Boy,https://www.instagram.com/badlydrawnboyofficial/,ACOUSTIC STAGE,SATURDAY,16:00 - 16:40,Welcome return after a ten-year hiatus from the witty singer songwriter and sporadic hit maker.,0881daf1-20df-4a3e-a84f-6476a84bb172,https://www.last.fm/music/Badly+Drawn+Boy,BADLY DRAWN BOY
Baggy Mondays,https://twitter.com/baggymondays,STONEBRIDGE BAR,THURSDAY,14:00 - 15:30,The legendary Manchester-flavoured indie-disco is back to kickstart another Glastonbury with a Thursday afternoon session. Get there early and bring your singing voice!,,https://www.last.fm/music/Baggy+Mondays,BAGGY MONDAYS
Barbarella,https://www.instagram.com/soundslikebarbarella/,STRUMMERVILLE,WEDNESDAY,22:00 - 22:45,,f539737f-0483-421c-85ee-7fd218262f0c,https://www.last.fm/music/Barbarella,BARBARELLA
Baronhawk Poitier,https://ra.co/dj/baronhawkpoitier,IICON,SATURDAY,02:45 - 04:45,,,https://www.last.fm/music/Baronhawk+Poitier,BARONHAWK POITIER
Barrington Levy,http://www.barringtonlevy.com/,WEST HOLTS STAGE,SUNDAY,18:30 - 19:30,A legend of reggae music who pioneered dancehall and other styles from the 80s onwards through tracks like ‘Here I Come’ and ‘Under Me Sensi’.,8ddf3da1-dfa9-490a-93cc-7d4072319995,https://www.last.fm/music/Barrington+Levy,BARRINGTON LEVY
Barry Can’t Swim,,STONEBRIDGE BAR,SATURDAY,03:00 - 04:00,,,https://www.last.fm/music/Barry+Can%E2%80%99t+Swim,BARRY CAN’T SWIM
Bashkka,https://ra.co/dj/bashkka,GENOSYS SOUND SYSTEM,SATURDAY,04:30 - 06:00,,,https://www.last.fm/music/Bashkka,BASHKKA
Bastard Love,https://ra.co/dj/bastardlove,STRUMMERVILLE,SATURDAY,01:30 - 03:00,,,https://www.last.fm/music/Bastard+Love,BASTARD LOVE
Batu,,THE LEVELS,SUNDAY,21:30 - 23:30,"Electronic dance music with a hint of Turkish rock set off against electro, UK garage and jungle.",e81f7d8e-7302-4cea-9c76-0f462272dda6,https://www.last.fm/music/Batu,BATU
Bazuka,https://www.instagram.com/bazuka.nights/,BABYLON UPRISING,THURSDAY,22:00 - 23:00,,c0ddda88-052a-4243-887f-37a4428ab654,https://www.last.fm/music/Bazuka,BAZUKA
